code,name,description,category,item_type,track_individual,stock_total,stock_available,status,location
EQ-0022,DECALADOR TRIFASICO O CAMBIADOR TRIFASICO.DL-2023,DECALADOR TRIFASICO O CAMBIADOR TRIFASICO.DL-2023 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0023,DEMOSTRADOR DE FRENO ELECTROMAGNETICO NO.28-226,DEMOSTRADOR DE FRENO ELECTROMAGNETICO NO.28-226 | Modelo: 92248,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0024,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 929,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 929,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0025,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 930,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 930,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0026,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 931,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 931,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0027,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 932,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 932,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0028,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 933,DIVISOR DE BAJA TENSION MODELO NTZ NO.859 933,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0029,PICKIT 3,PICKIT 3,BIEN INSTITUCIONAL,equipment,TRUE,6,6,active,Laboratorio
EQ-0030,PIEZA DE BASE PARA APOYO DIRECTO MODELO F (S),PIEZA DE BASE PARA APOYO DIRECTO MODELO F (S),BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0031,PIEZA DE BASE PARA APOYO DIRECTOMODELO F (S),PIEZA DE BASE PARA APOYO DIRECTOMODELO F (S),BIEN INSTITUCIONAL,equipment,TRUE,6,6,active,Laboratorio
EQ-0032,PIEZA DE CONEXI N MODELO V,PIEZA DE CONEXI N MODELO V,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0033,PIEZA DE CONEXIONMODELO V,PIEZA DE CONEXIONMODELO V,BIEN INSTITUCIONAL,equipment,TRUE,5,5,active,Laboratorio
EQ-0034,PUENTES DE PRECISION WHESTSTONE THOMSON,PUENTES DE PRECISION WHESTSTONE THOMSON | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,2,2,active,Laboratorio
EQ-0035,RELE DE SOBRECORRIENTE INVERSO TERCO TM 111,RELE DE SOBRECORRIENTE INVERSO TERCO TM 111 | Modelo: ICM2A,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0036,RELE DE SOBRECORRIENTE TERCO TM 112,RELE DE SOBRECORRIENTE TERCO TM 112 | Modelo: IM3X,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0037,RELE DE TIEMPO CONSTANTE TERCO TM 114,RELE DE TIEMPO CONSTANTE TERCO TM 114 | Modelo: ISM2,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0038,RELE DIFERENCIAL TERCO TM 118,RELE DIFERENCIAL TERCO TM 118 | Modelo: D21S3,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0039,RELE DIRECCIONAL TERCO TM 117,RELE DIRECCIONAL TERCO TM 117 | Modelo: PM2G0,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0040,RELE MEDIDOR DE TIEMPO TERCO TM 110,RELE MEDIDOR DE TIEMPO TERCO TM 110 | Modelo: S10H,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0041,REOSTATO DE ARMADURA EN MODULO 0-200 OHMIOS 100W.NO.28-350,REOSTATO DE ARMADURA EN MODULO 0-200 OHMIOS 100W.NO.28-350 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0042,REOSTATO DE CAMPO EN SERIE EN MODULO 0-4 OHMIOS 50W.28-351,REOSTATO DE CAMPO EN SERIE EN MODULO 0-4 OHMIOS 50W.28-351 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0043,REOSTATOS DE CEPILLO CORREDIZO 21 OHMS 5A-RC5/B,REOSTATOS DE CEPILLO CORREDIZO 21 OHMS 5A-RC5/B | Modelo: S/M,REOSTATOS DE CEPILLO CORREDIZO 21 OHMS 5A-RC5,equipment,TRUE,4,4,active,Laboratorio
EQ-0044,REOSTATOS DE CEPILLO CORREDIZO-145 OHMS.1.6A RC5/B,REOSTATOS DE CEPILLO CORREDIZO-145 OHMS.1.6A RC5/B | Modelo: S/M,REOSTATOS DE CEPILLO CORREDIZO-145 OHMS 1 6A RC5,equipment,TRUE,2,2,active,Laboratorio
EQ-0045,REOSTATOS DE CEPILLO CORREDIZO-2.9 OHMS.13.5A-RC5/D,REOSTATOS DE CEPILLO CORREDIZO-2.9 OHMS.13.5A-RC5/D | Modelo: S/M,REOSTATOS DE CEPILLO CORREDIZO-2 9 OHMS 13 5A-RC5,equipment,TRUE,4,4,active,Laboratorio
EQ-0046,REOSTATOS DE CEPILLO CORREDIZO-7.2 OHMS.3.2A-RC1/B,REOSTATOS DE CEPILLO CORREDIZO-7.2 OHMS.3.2A-RC1/B | Modelo: S/M,REOSTATOS DE CEPILLO CORREDIZO-7 2 OHMS 3 2A-RC1,equipment,TRUE,4,4,active,Laboratorio
EQ-0047,REOSTATOS DE CEPILLO CORREDIZOS-295 OHMS.1.4A-RC5/D,REOSTATOS DE CEPILLO CORREDIZOS-295 OHMS.1.4A-RC5/D | Modelo: S/M,REOSTATOS DE CEPILLO CORREDIZOS-295 OHMS 1 4A-RC5,equipment,TRUE,4,4,active,Laboratorio
EQ-0048,REOSTATOS TV 500/500 TERCO,REOSTATOS TV 500/500 TERCO | Modelo: S/M,REOSTATOS TV 500,equipment,TRUE,3,3,active,Laboratorio
EQ-0049,RESISTENCIA DE CARGA-TB40,RESISTENCIA DE CARGA-TB40 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0050,RESISTENSIAS ADICIONALES.3/6/12/30/60/120/200/600V.,RESISTENSIAS ADICIONALES.3/6/12/30/60/120/200/600V. | Modelo: S/M,RESISTENSIAS ADICIONALES 3,equipment,TRUE,1,1,active,Laboratorio
EQ-0051,SHUNT (3 DE C/U).750A. 1500A. 3000A.,SHUNT (3 DE C/U).750A. 1500A. 3000A. | Modelo: S/M,SHUNT (3 DE C,equipment,TRUE,3,3,active,Laboratorio
EQ-0052,SHUNT 0 03-0 06-0 12,SHUNT 0 03-0 06-0 12 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0053,SHUNT 0 6/1-2/3-4/12A.,SHUNT 0 6/1-2/3-4/12A. | Modelo: S/M,SHUNT 0 6,equipment,TRUE,1,1,active,Laboratorio
EQ-0054,SHUNT 003-006-012,SHUNT 003-006-012 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,2,2,active,Laboratorio
EQ-0055,SHUNT 06/1-2/3-4/12A.,SHUNT 06/1-2/3-4/12A. | Modelo: S/M,SHUNT 06,equipment,TRUE,2,2,active,Laboratorio
EQ-0056,SHUNT 300A.CLASE 0 1,SHUNT 300A.CLASE 0 1 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0057,SHUNT 300A.CLASE 01,SHUNT 300A.CLASE 01 | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,2,2,active,Laboratorio
EQ-0058,TUBO DISTANCIADORMODELO D,TUBO DISTANCIADORMODELO D | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0059,TUBO DISTANCIADORMODELO D (D) 652 MM.,TUBO DISTANCIADORMODELO D (D) 652 MM. | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0060,TUBO DISTANCIADORMODELO D (F) 592 MM.,TUBO DISTANCIADORMODELO D (F) 592 MM. | Modelo: S/M,BIEN INSTITUCIONAL,equipment,TRUE,1,1,active,Laboratorio
EQ-0061,ANTENA PORTATIL MARCA MOTOROLA,ANTENA PORTATIL MARCA MOTOROLA | Modelo: 92714,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0062,ANTENA PROFESIONAL MOVIL MARCA HUSTLER,ANTENA PROFESIONAL MOVIL MARCA HUSTLER | Modelo: 92713,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0063,ANTENA YAGUIEN TUBO DE ALUMINIO DE 1/4 5 ELEMENTOS VHF EN TUBO DE ALUMINIO DE 1/2,ANTENA YAGUIEN TUBO DE ALUMINIO DE 1/4 5 ELEMENTOS VHF EN TUBO DE ALUMINIO DE 1/2 | Modelo: 92782,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0064,ANTENA YAGUIEN TUBO DE ALUMINIO DE 1/4 9 ELEMENTOS VHF EN TUBO DE ALUMINIO DE 1/2,ANTENA YAGUIEN TUBO DE ALUMINIO DE 1/4 9 ELEMENTOS VHF EN TUBO DE ALUMINIO DE 1/2 | Modelo: 92783,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0065,CUBIERTA DE MONTAJE NO.28-300,CUBIERTA DE MONTAJE NO.28-300 | Modelo: 92260,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0066,DEMOSTRADOR DE FRENO DINAMICO NO.28-225,DEMOSTRADOR DE FRENO DINAMICO NO.28-225 | Modelo: 92247,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0067,FLEXOMETRO-FXCT150,FLEXOMETRO-FXCT150,BIENES SUJETOS A CONTROL,equipment,TRUE,2,2,active,Laboratorio
EQ-0068,FRENO ELECTROMAGNETICO DE CORRIENTES DE FDUCAULT CON DL2006/,FRENO ELECTROMAGNETICO DE CORRIENTES DE FDUCAULT CON DL2006/ | Modelo: DL2006A,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0069,JUEGOS DE RESISTENCIA DE MEDIDA 06130.10-0 1,JUEGOS DE RESISTENCIA DE MEDIDA 06130.10-0 1 | Modelo: 98889,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0070,JUEGOS DE RESISTENCIA DE MEDIDA 06130.20-0 2OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06130.20-0 2OHM. | Modelo: 98890,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0071,JUEGOS DE RESISTENCIA DE MEDIDA 06130.50-0 5OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06130.50-0 5OHM. | Modelo: 98891,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0072,JUEGOS DE RESISTENCIA DE MEDIDA 06131.10-1 OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06131.10-1 OHM. | Modelo: 98892,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0073,JUEGOS DE RESISTENCIA DE MEDIDA 06131.20-2 OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06131.20-2 OHM. | Modelo: 98893,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0074,JUEGOS DE RESISTENCIA DE MEDIDA 06131.50-5 OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06131.50-5 OHM. | Modelo: 98894,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0075,JUEGOS DE RESISTENCIA DE MEDIDA 06132.10 OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06132.10 OHM. | Modelo: 98895,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0076,JUEGOS DE RESISTENCIA DE MEDIDA 06132.20-20 OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06132.20-20 OHM. | Modelo: 98896,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0077,JUEGOS DE RESISTENCIA DE MEDIDA 06132.50-50 OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06132.50-50 OHM. | Modelo: 98897,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0078,JUEGOS DE RESISTENCIA DE MEDIDA 06133.10-100 OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06133.10-100 OHM. | Modelo: 98898,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0079,JUEGOS DE RESISTENCIA DE MEDIDA 06133.20-200 OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06133.20-200 OHM. | Modelo: 98899,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0080,JUEGOS DE RESISTENCIA DE MEDIDA 06133.50-500 OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06133.50-500 OHM. | Modelo: 98900,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0081,JUEGOS DE RESISTENCIA DE MEDIDA 06134.10-1K OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06134.10-1K OHM. | Modelo: 98901,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0082,JUEGOS DE RESISTENCIA DE MEDIDA 06134.20-2K OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06134.20-2K OHM. | Modelo: 98902,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0083,JUEGOS DE RESISTENCIA DE MEDIDA 06134.50-5K OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06134.50-5K OHM. | Modelo: 98903,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0084,JUEGOS DE RESISTENCIA DE MEDIDA 06135.10-10K OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06135.10-10K OHM. | Modelo: 98904,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0085,JUEGOS DE RESISTENCIA DE MEDIDA 06135.20-20K OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06135.20-20K OHM. | Modelo: 98905,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0086,JUEGOS DE RESISTENCIA DE MEDIDA 06135.50-50K OHM.,JUEGOS DE RESISTENCIA DE MEDIDA 06135.50-50K OHM. | Modelo: 98906,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0087,RESISTENCIA DE CARGA-TB40,RESISTENCIA DE CARGA-TB40 | Modelo: 92303,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0088,BIENES SUJETOS A CONTROL/ARRANCADOR/ARRANCADOR CD-MANUAL DE 3 Y 4 PUNTOS.NO.28-302,BIENES SUJETOS A CONTROL/ARRANCADOR/ARRANCADOR CD-MANUAL DE 3 Y 4 PUNTOS.NO.28-302 | Modelo: 92261,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0089,BIENES SUJETOS A CONTROL/ARRANCADOR/ARRANCADOR DE 3 POLOS TIRADA SIMPLE NO.28-304,BIENES SUJETOS A CONTROL/ARRANCADOR/ARRANCADOR DE 3 POLOS TIRADA SIMPLE NO.28-304 | Modelo: 92263,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0090,BIENES SUJETOS A CONTROL/ARRANCADOR/ARRANCADOR MAGNETICO TRIFASICO.NO.28-303,BIENES SUJETOS A CONTROL/ARRANCADOR/ARRANCADOR MAGNETICO TRIFASICO.NO.28-303 | Modelo: 92262,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0091,BIENES SUJETOS A CONTROL/BASURERO/PLASTICO/TACHO DE PLASTICO CON BALANCIN,BIENES SUJETOS A CONTROL/BASURERO/PLASTICO/TACHO DE PLASTICO CON BALANCIN | Modelo: 92393,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0092,BOBINA PARA PRUEBA PARA EL FLUXOMETRO-TYPE 1,BOBINA PARA PRUEBA PARA EL FLUXOMETRO-TYPE 1 | Modelo: 92288,BIENES SUJETOS A CONTROL,equipment,TRUE,2,2,active,Laboratorio
EQ-0093,CABLE DE MEDICION COAXIAL MODELO VKD 75 5 M.,CABLE DE MEDICION COAXIAL MODELO VKD 75 5 M. | Modelo: S/M,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0094,BIENES SUJETOS A CONTROL/CARGADOR/CARGA DE INERCIA VARIABLE NO.28-220,BIENES SUJETOS A CONTROL/CARGADOR/CARGA DE INERCIA VARIABLE NO.28-220 | Modelo: 92246,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0095,BIENES SUJETOS A CONTROL/CASCO/CASCO DE PROTECCION DE PLASTICO COLOR BLANCO NORTH,BIENES SUJETOS A CONTROL/CASCO/CASCO DE PROTECCION DE PLASTICO COLOR BLANCO NORTH | Modelo: 102039,BIENES SUJETOS A CONTROL,equipment,TRUE,3,3,active,Laboratorio
EQ-0096,CAUTIN ELECTRICO MANGO DE MADERA 30W 110V.,CAUTIN ELECTRICO MANGO DE MADERA 30W 110V. | Modelo: 451732,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0097,CAUTIN WELLER 100/140W,CAUTIN WELLER 100/140W | Modelo: 453462,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0098,CAUTIN WELLER WP25,CAUTIN WELLER WP25 | Modelo: SI 45,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0099,TECLADO 3,TECLADO 3 | Modelo: 352254,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0100,HUB OFFICE CONNECT FAST ETHERNET DE 4 PUERTOS SERIE 7L9V01FAD7,HUB OFFICE CONNECT FAST ETHERNET DE 4 PUERTOS SERIE 7L9V01FAD7 | Modelo: 3C16723A,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0101,CORTADORA CRESCENT NO 542-7C,CORTADORA CRESCENT NO 542-7C | Modelo: 92208,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0102,PROTECTOR DE EQUIPOS DE 6 TOMAS PANAMAX,PROTECTOR DE EQUIPOS DE 6 TOMAS PANAMAX | Modelo: 102040,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0103,SUPRESOR DE PICOS DE 6 TOMAS APS 13,SUPRESOR DE PICOS DE 6 TOMAS APS 13 | Modelo: 13-414,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0104,SUPRESOR DE PICOS MARCA NIPPON AMERICA MODELO 14-514 DE 6 TOMAS,SUPRESOR DE PICOS MARCA NIPPON AMERICA MODELO 14-514 DE 6 TOMAS,BIENES SUJETOS A CONTROL,equipment,TRUE,11,11,active,Laboratorio
EQ-0105,BIENES SUJETOS A CONTROL/DESTORNILLADOR/DESTORNILLADOR DE ESTRELLA MANGO DE CAUCHO DE 4,BIENES SUJETOS A CONTROL/DESTORNILLADOR/DESTORNILLADOR DE ESTRELLA MANGO DE CAUCHO DE 4 | Modelo: 102133,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0106,ENTENALLA ANTIESTATICA PANAVISE USA,ENTENALLA ANTIESTATICA PANAVISE USA | Modelo: 92838,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0107,ENTENALLA PEQUENA PANAVISE MV89502,ENTENALLA PEQUENA PANAVISE MV89502,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0108,BIENES SUJETOS A CONTROL/ESCRITORIO/MADERA/ESCRITORIO DE 1.45 X 0.80 MTS.REF E 105,BIENES SUJETOS A CONTROL/ESCRITORIO/MADERA/ESCRITORIO DE 1.45 X 0.80 MTS.REF E 105 | Modelo: 92987,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0109,EXTINTOR DE 20 LBS POLVO QUIMICO SECO,EXTINTOR DE 20 LBS POLVO QUIMICO SECO,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0110,FUENTE DE ENERGIA NO 29 215,FUENTE DE ENERGIA NO 29 215 | Modelo: SIN MODELO,BIENES SUJETOS A CONTROL,equipment,TRUE,2,2,active,Laboratorio
EQ-0111,FUENTE DE ENERGIA TRIFASICA NO 28 217,FUENTE DE ENERGIA TRIFASICA NO 28 217 | Modelo: SIN MODELO,BIENES SUJETOS A CONTROL,equipment,TRUE,2,2,active,Laboratorio
EQ-0112,FUENTE LOGO MARCA SIEMENS SERIE Q6TS356841,FUENTE LOGO MARCA SIEMENS SERIE Q6TS356841 | Modelo: SIN MODELO,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0113,BIENES SUJETOS A CONTROL/GENERADOR/GENERADOR DE SENAL MARCA: POTEK MODELO: B8011 N SERIE: 110560067147,BIENES SUJETOS A CONTROL/GENERADOR/GENERADOR DE SENAL MARCA: POTEK MODELO: B8011 N SERIE: 110560067147,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0114,BIENES SUJETOS A CONTROL/GENERADOR/GENERADOR DE SENAL MARCA:GW INSTEK MODELO: GFG-8020H N SERIE: CJ840997,BIENES SUJETOS A CONTROL/GENERADOR/GENERADOR DE SENAL MARCA:GW INSTEK MODELO: GFG-8020H N SERIE: CJ840997,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0115,GENERADOR DE FUNCIONES MODELO ICL8038,GENERADOR DE FUNCIONES MODELO ICL8038,BIENES SUJETOS A CONTROL,equipment,TRUE,7,7,active,Laboratorio
EQ-0116,IMPRESORA LASER MARCA SAMSUNG MODELO ML 2010 XAA SERIE 3A61BKDP310829M,IMPRESORA LASER MARCA SAMSUNG MODELO ML 2010 XAA SERIE 3A61BKDP310829M,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
EQ-0117,JUEGO DE LLAVES DE BOCA Y CORONA BONEY NO B-80709,JUEGO DE LLAVES DE BOCA Y CORONA BONEY NO B-80709 | Modelo: 92216,BIENES SUJETOS A CONTROL,equipment,TRUE,1,1,active,Laboratorio
